GeneID	classification
AT3G46970	Short–Long Up
AT3G49120	Short–Long Up
AT3G49320	Short–Long Up
AT4G15248	Short Up
AT4G21320	Short Up–Long Down
AT4G23990	Frequent
AT4G24960	Frequent
AT4G25640	Short–Long Up
AT4G28140	Short–Long Up
AT4G33040	Short Up–Down
AT4G37150	Short–Long Up
AT4G37760	Short–Long Up
AT5G03990	Short Up
AT5G04250	Short–Long Up
AT5G08610	Frequent
AT5G13210	Short Up
AT5G18130	Short–Long Up
AT5G37670	Short Up
AT5G41750	Short Up–Long Down
AT5G42020	Short–Long Up
AT5G43260	Short–Long Up
AT5G54860	Short Up
AT5G54940	Short Up
AT5G56600	Frequent
AT5G61820	Short–Long Up
AT5G67340	Short Up–Long Down
AT1G09140	Short–Long Up
AT1G13990	Short Up
AT1G16850	Short–Long Up
AT1G28480	Short Up
AT1G30040	Short Up
AT1G32870	Short Up–Down
AT1G56600	Frequent
AT1G61890	Short Up
AT1G63830	Short–Long Up
AT1G64140	Short–Long Up
AT1G64760	Short–Long Up
AT1G72330	Short–Long Up
AT1G72416	Short Up
AT1G78930	Frequent
AT1G79270	Frequent
AT2G23010	Short–Long Up
AT2G25950	Short–Long Up
AT2G26530	Short Up–Long Down
AT2G32120	Short Up
AT2G34090	Short–Long Up
AT2G34810	Frequent
AT2G36590	Frequent
AT2G39330	Short–Long Up
AT2G41150	Short–Long Up
AT2G43570	Short Up
AT3G05640	Frequent
AT3G08690	Short Up
AT3G09390	Short–Long Up
AT3G10300	Short Up
AT3G14440	Short Up–Long Down
AT3G59820	Short–Long Up
AT3G63010	Short Up
AT4G04830	Short–Long Up
AT4G11280	Short Up
AT4G13250	Short–Long Up
AT4G18440	Frequent
AT4G19390	Short–Long Up
AT4G23810	Short Up–Long Down
AT4G37260	Short Up
AT5G01100	Short Up–Long Down
AT5G03630	Short–Long Up
AT5G04830	Short Up
AT5G07990	Short–Long Up
AT5G15450	Short Up
AT5G20480	Short–Long Up
AT5G26030	Short Up
AT5G28540	Short–Long Up
AT5G47830	Short Up
AT5G56630	Short–Long Up
AT5G58760	Frequent
AT5G61380	Short Up
AT5G64230	Short–Long Up
AT5G66620	Short Up–Down
AT5G66960	Short–Long Up
AT1G01470	Short Up
AT1G06570	Frequent
AT1G07135	Short Up
AT1G10230	Short Up–Down
AT1G10522	Short–Long Up
AT1G11960	Short Up
AT1G17745	Short–Long Up
AT1G20030	Short–Long Up
AT1G23550	Short Up
AT1G33970	Short Up
AT1G48570	Frequent
AT1G60960	Frequent
AT1G61610	Short Up
AT1G67660	Short–Long Up
AT1G69200	Frequent
AT1G69260	Short Up–Down
AT1G69610	Short Up
AT1G76960	Short Up
AT1G78680	Short Up–Down
AT2G02810	Short Up
AT2G21320	Short–Long Up
AT2G25930	Short–Long Up
AT2G28900	Short–Long Up
AT2G39980	Short Up
AT2G43550	Frequent
AT3G03310	Short Up
AT3G04640	Short Up
AT3G06355	Short Up
AT3G12050	Short Up–Down
AT3G16565	Short–Long Up
AT3G24760	Short–Long Up
AT3G26840	Short–Long Up
AT3G46450	Short Up
AT3G50760	Short–Long Up
AT3G51910	Short Up–Down
AT3G54090	Short–Long Up
AT3G55110	Frequent
AT3G55980	Short Up–Long Down
AT3G56290	Frequent
AT3G56880	Short Up
AT4G09020	Short–Long Up
AT4G14090	Short–Long Up
AT4G15440	Frequent
AT4G17090	Frequent
AT4G21380	Short Up
AT4G21990	Short–Long Up
AT4G25480	Short–Long Up
AT4G26080	Short Up
AT4G26270	Short Up
AT4G27410	Short Up–Long Down
AT4G30240	Short–Long Up
AT4G30650	Frequent
AT4G34550	Frequent
AT4G36830	Frequent
AT4G38060	Short Up–Down
AT4G39980	Frequent
AT5G03560	Short Up
AT5G10380	Short Up
AT5G15960	Short Up–Down
AT5G15970	Short–Long Up
AT5G16380	Short–Long Up
AT5G24150	Frequent
AT5G42060	Short–Long Up
AT5G43150	Frequent
AT5G47610	Frequent
AT5G48030	Short–Long Up
AT5G49910	Frequent
AT5G52750	Short Up–Long Down
AT5G53750	Frequent
AT5G58070	Short Up
AT5G59720	Short Up
AT5G63790	Short Up
AT5G66880	Short Up
AT5G67480	Short–Long Up
AT1G02850	Frequent
AT1G02880	Short–Long Up
AT1G05170	Frequent
AT1G06620	Short–Long Up
AT1G09180	Short–Long Up
AT1G11210	Short–Long Up
AT1G13360	Short Up
AT1G14200	Short Up–Long Down
AT1G19380	Short Up–Long Down
AT1G19640	Short Up
AT1G21250	Short Up
AT1G27330	Short Up
AT1G31280	Short Up
AT1G42990	Short Up–Long Down
AT1G51440	Frequent
AT1G52400	Frequent
AT1G52890	Short Up
AT1G56660	Short Up
AT1G66725	Short Up–Down
AT1G69840	Short Up
AT1G72770	Short Up–Down
AT1G72940	Short Up
AT1G78610	Short Up
AT1G79550	Short Up
AT2G21640	Short–Long Up
AT2G26440	Short Up–Long Down
AT2G27580	Short Up
AT2G30000	Short–Long Up
AT2G32390	Short–Long Up
AT2G33580	Short Up
AT2G37580	Short–Long Up
AT2G43530	Short–Long Up
AT2G46400	Short Up–Long Down
AT2G46430	Short Up
AT3G03270	Short–Long Up
AT3G05630	Short Up
AT3G06500	Short Up
AT3G09830	Short Up–Long Down
AT3G12145	Short–Long Up
AT3G15210	Short Up
AT3G16175	Short Up
AT3G17120	Frequent
AT3G24000	Short–Long Up
AT3G25230	Short Up–Down
AT3G48460	Short–Long Up
AT3G55940	Short Up
AT3G57450	Short–Long Up
AT3G59280	Short–Long Up
AT4G01870	Short Up
AT4G15480	Frequent
AT4G17500	Short Up
AT4G23220	Short Up–Long Down
AT4G23260	Short–Long Up
AT4G24972	Short–Long Up
AT4G29520	Short Up
AT4G31800	Short Up–Long Down
AT4G33905	Frequent
AT4G36990	Short Up–Down
AT5G02190	Frequent
AT5G03555	Frequent
AT5G04895	Short–Long Up
AT5G19850	Short–Long Up
AT5G23480	Short Up–Down
AT5G41120	Short–Long Up
AT5G44050	Short Up–Down
AT5G47240	Short Up
AT5G53400	Short Up–Down
AT5G56030	Short Up–Down
AT5G63880	Short–Long Up
AT5G67210	Frequent
AT1G08650	Short Up
AT1G14520	Short Up
AT1G22570	Short Up
AT1G26800	Frequent
AT1G27350	Short–Long Up
AT1G35720	Short–Long Up
AT1G43910	Short Up
AT1G49450	Short Up
AT1G51660	Short Up
AT1G61570	Short–Long Up
AT1G65486	Short Up
AT1G67300	Short–Long Up
AT1G74930	Short Up
AT1G77510	Short–Long Up
AT1G79920	Short Up
AT1G80820	Short Up–Down
AT2G16660	Frequent
AT2G22200	Short Up
AT2G22240	Short Up–Down
AT2G23320	Short Up
AT2G24600	Short Up–Long Down
AT2G24850	Short Up
AT2G27080	Short Up–Long Down
AT2G27420	Frequent
AT2G28000	Frequent
AT2G29720	Short–Long Up
AT2G32920	Short–Long Up
AT2G39050	Short Up
AT2G41000	Short Up
AT2G41100	Short Up–Long Down
AT2G46790	Short Up–Down
AT3G03250	Short–Long Up
AT3G04120	Short Up
AT3G05030	Short Up
AT3G05120	Short–Long Up
AT3G09450	Short Up–Down
AT3G10410	Short–Long Up
AT3G19010	Short Up
AT3G21700	Short Up
AT3G24100	Short Up
AT3G24190	Short Up
AT3G25760	Short Up–Long Down
AT3G46870	Short–Long Up
AT3G51090	Short Up
AT3G51660	Short Up
AT3G51860	Short Up
AT3G52400	Short Up–Long Down
AT3G55640	Short–Long Up
AT3G55760	Short Up
AT3G56330	Frequent
AT4G02360	Short–Long Up
AT4G02380	Short Up
AT4G12000	Short Up
AT4G13110	Short Up
AT4G14370	Short Up
AT4G23170	Short Up
AT4G27280	Short Up
AT4G27860	Short–Long Up
AT4G29780	Short Up–Long Down
AT4G30460	Short Up–Down
AT5G02950	Short Up
AT5G03740	Short–Long Up
AT5G04410	Short Up
AT5G08510	Short–Long Up
AT5G09225	Short Up
AT5G10730	Short Up
AT5G12030	Short Up
AT5G19230	Short Up
AT5G20720	Short–Long Up
AT5G24380	Frequent
AT5G25930	Short Up–Long Down
AT5G27520	Short Up
AT5G40780	Short Up–Long Down
AT5G42650	Frequent
AT5G47455	Frequent
AT5G52050	Short Up
AT5G53120	Short Up
AT5G54170	Short Up
AT5G58590	Short Up–Down
AT5G61790	Short–Long Up
AT5G62020	Short Up–Long Down
AT5G64400	Short Up
AT5G67150	Short–Long Up
ATCG00280	Short Up
AT1G07430	Short Up
AT1G07510	Short Up
AT1G10090	Short Up
AT1G12060	Short Up
AT1G12845	Short–Long Up
AT1G16030	Short Up
AT1G19300	Short Up
AT1G21410	Short Up
AT1G22070	Short Up
AT1G23180	Short–Long Up
AT1G23330	Short Up
AT1G24070	Short–Long Up
AT1G27760	Short Up
AT1G45145	Short Up
AT1G48100	Short Up–Down
AT1G49660	Frequent
AT1G50740	Short Up–Long Down
AT1G52410	Short–Long Up
AT1G52570	Short–Long Up
AT1G58520	Frequent
AT1G59740	Short Up–Down
AT1G59870	Short Up
AT1G59990	Frequent
AT1G60270	Short Up–Down
AT1G61640	Short–Long Up
AT1G62300	Short–Long Up
AT1G66760	Short Up
AT1G68620	Short Up
AT1G69830	Frequent
AT1G69890	Frequent
AT1G76970	Short Up
AT1G78370	Short–Long Up
AT2G15890	Frequent
AT2G18690	Short Up–Long Down
AT2G22080	Short–Long Up
AT2G25110	Short–Long Up
AT2G29460	Short Up
AT2G32930	Short Up
AT2G34070	Short Up–Down
AT2G36750	Short–Long Up
AT2G40140	Short Up
AT2G43020	Short Up
AT2G43535	Short–Long Up
AT2G47730	Short Up–Long Down
AT3G15790	Short–Long Up
AT3G16720	Short Up
AT3G22160	Short Up–Down
AT3G22910	Short Up
AT3G47420	Short Up–Down
AT3G47820	Short Up
AT3G48520	Short Up
AT3G50970	Short Up
AT3G51430	Short Up
AT3G51440	Short Up
AT3G61220	Short–Long Up
AT4G10960	Short Up–Long Down
AT4G12720	Short Up–Long Down
AT4G14365	Short Up–Long Down
AT4G16760	Short Up
AT4G16860	Short Up
AT4G21215	Frequent
AT4G22590	Short Up
AT4G23190	Short Up–Long Down
AT4G23630	Short Up
AT4G23920	Short–Long Up
AT4G24280	Short–Long Up
AT4G27020	Short Up
AT4G31210	Frequent
AT4G36900	Short Up
AT5G12010	Short Up
AT5G13190	Short Up
AT5G13750	Short–Long Up
AT5G17460	Short–Long Up
AT5G22060	Short Up–Down
AT5G23240	Short–Long Up
AT5G24030	Short Up
AT5G25440	Short Up–Long Down
AT5G37600	Short Up
AT5G41740	Short Up–Long Down
AT5G44110	Short Up–Down
AT5G52250	Short Up–Down
AT5G52810	Short Up
AT5G61600	Short Up
AT5G61810	Short Up
AT5G62730	Short–Long Up
AT5G66052	Frequent
AT1G02460	Short Up–Down
AT1G02660	Short Up–Down
AT1G02920	Short Up–Long Down
AT1G04770	Short Up
AT1G08920	Short Up
AT1G14820	Short–Long Up
AT1G17940	Short Up
AT1G19310	Short Up
AT1G27770	Short Up–Long Down
AT1G45249	Short Up–Down
AT1G48330	Short–Long Up
AT1G49560	Short Up
AT1G51790	Short Up–Long Down
AT1G53680	Short Up–Down
AT1G55310	Short Up
AT1G55530	Short Up–Long Down
AT1G56440	Short Up
AT1G63860	Short Up–Long Down
AT1G64780	Frequent
AT1G66160	Short Up–Long Down
AT1G71110	Short–Long Up
AT1G72920	Short Up–Long Down
AT1G74430	Short Up
AT1G74950	Short Up
AT1G75040	Short Up
AT1G76040	Short Up
AT2G17120	Short Up
AT2G20340	Short Up
AT2G21250	Short Up
AT2G21710	Short–Long Up
AT2G27310	Short Up
AT2G29170	Short–Long Up
AT2G29440	Short Up
AT2G30020	Short Up
AT2G31840	Frequent
AT2G33735	Short Up
AT2G34930	Short Up
AT2G43100	Short–Long Up
AT2G43540	Short–Long Up
AT2G43630	Short Up
AT2G46620	Short Up
AT3G09970	Short–Long Up
AT3G10500	Short Up
AT3G10985	Short Up
AT3G11820	Short Up–Long Down
AT3G21300	Frequent
AT3G23920	Short Up–Long Down
AT3G25870	Short–Long Up
AT3G26170	Short Up
AT3G26440	Short Up
AT3G44110	Short Up–Down
AT3G49160	Short Up
AT3G49530	Short Up
AT3G50280	Short Up
AT3G51790	Short–Long Up
AT3G53830	Short Up–Down
AT3G55430	Short Up–Long Down
AT3G56200	Short Up
AT3G61280	Short–Long Up
AT4G11320	Frequent
AT4G12320	Short–Long Up
AT4G13180	Short Up
AT4G15420	Short Up
AT4G23570	Short Up–Long Down
AT4G26060	Short Up
AT4G30560	Short–Long Up
AT4G33700	Short–Long Up
AT4G34950	Short–Long Up
AT4G35630	Short–Long Up
AT4G39366	Frequent
AT5G03190	Short Up
AT5G09440	Short Up–Down
AT5G10410	Frequent
AT5G13100	Short Up
AT5G13240	Short–Long Up
AT5G16820	Short–Long Up
AT5G19470	Short–Long Up
AT5G24590	Short Up
AT5G43850	Short Up–Long Down
AT5G48380	Short Up–Long Down
AT5G51050	Short Up
AT5G52570	Short Up–Down
AT5G56010	Short Up–Down
AT5G57100	Short Up
AT5G57560	Short Up–Long Down
AT5G59480	Short Up
AT5G63500	Short Up
ATCG00270	Short–Long Up
AT1G01210	Frequent
AT1G01560	Short Up–Long Down
AT1G04130	Short Up–Down
AT1G05340	Short Up
AT1G08050	Short Up
AT1G13210	Short Up–Long Down
AT1G18330	Short Up
AT1G20630	Short Up
AT1G23040	Short Up–Down
AT1G24140	Short Up
AT1G29690	Short Up–Long Down
AT1G30620	Short–Long Up
AT1G30755	Short Up–Long Down
AT1G65040	Short Up
AT1G65790	Short Up–Long Down
AT1G66510	Short Up
AT1G73390	Short Up
AT1G73805	Short Up–Long Down
AT1G74360	Short Up
AT1G75170	Short Up–Down
AT1G76650	Short Up
AT1G77000	Short Up
AT2G01290	Frequent
AT2G04080	Short–Long Up
AT2G15310	Short Up
AT2G18510	Short–Long Up
AT2G23120	Short Up–Long Down
AT2G23810	Short Up–Long Down
AT2G28840	Short–Long Up
AT2G31010	Short–Long Up
AT2G31890	Frequent
AT2G40000	Short Up–Long Down
AT2G41160	Short Up
AT2G41410	Short Up
AT2G46170	Short–Long Up
AT3G01210	Short Up
AT3G03630	Short–Long Up
AT3G26290	Short Up
AT3G28370	Short–Long Up
AT3G29320	Short Up
AT3G44260	Short Up
AT3G46090	Short Up–Long Down
AT3G48500	Frequent
AT3G53990	Short Up–Long Down
AT3G54950	Short Up–Down
AT3G57530	Short Up
AT3G60415	Short Up–Long Down
AT3G60690	Frequent
AT3G61630	Short Up
AT3G61890	Frequent
AT4G01130	Short Up
AT4G02370	Short–Long Up
AT4G03420	Short Up
AT4G11220	Short Up
AT4G14270	Frequent
AT4G15530	Short Up–Down
AT4G16680	Short Up
AT4G17250	Short Up
AT4G17550	Short Up–Down
AT4G17670	Short Up
AT4G18880	Short Up
AT4G19230	Short Up
AT4G20170	Short Up
AT4G23885	Short Up
AT4G24350	Short–Long Up
AT4G24570	Short Up
AT4G26670	Short–Long Up
AT4G29210	Short–Long Up
AT4G30350	Short–Long Up
AT4G34135	Frequent
AT4G34150	Short Up–Long Down
AT5G10300	Short Up
AT5G13220	Short Up
AT5G20790	Frequent
AT5G25250	Short Up–Long Down
AT5G37770	Short Up–Long Down
AT5G37780	Short–Long Up
AT5G42146	Short Up
AT5G43330	Short Up
AT5G55120	Short Up
AT5G60800	Short Up
AT5G61510	Short Up
AT5G64860	Short–Long Up
AT1G05870	Frequent
AT1G06640	Short–Long Up
AT1G09932	Short Up–Long Down
AT1G10970	Short Up
AT1G16110	Short Up–Long Down
AT1G20823	Short Up
AT1G21310	Short Up
AT1G28050	Short–Long Up
AT1G29330	Short Up
AT1G33610	Short Up–Long Down
AT1G34420	Short Up
AT1G51340	Short Up–Down
AT1G51700	Short Up
AT1G52040	Frequent
AT1G62740	Short Up
AT1G64890	Short–Long Up
AT1G70780	Short–Long Up
AT1G71000	Short Up
AT1G70890	Short–Long Up
AT1G72280	Short Up
AT1G74440	Short Up–Long Down
AT1G76790	Short–Long Up
AT2G01150	Short Up
AT2G15020	Frequent
AT2G17040	Short Up–Long Down
AT2G22770	Short Up
AT2G27690	Short Up
AT2G30100	Short Up
AT2G41190	Short Up–Down
AT2G41430	Short Up
AT2G42760	Short Up–Long Down
AT2G46510	Short Up
AT3G02230	Short–Long Up
AT3G05660	Short Up
AT3G11840	Short Up
AT3G13080	Short Up
AT3G16470	Short–Long Up
AT3G18710	Short Up
AT3G19130	Short–Long Up
AT3G19710	Short–Long Up
AT3G22600	Short Up–Long Down
AT3G26830	Short Up–Long Down
AT3G27210	Short–Long Up
AT3G27880	Short–Long Up
AT3G46930	Short Up
AT3G51890	Short Up–Long Down
AT3G55500	Frequent
AT3G57062	Short Up
AT3G57260	Short Up
AT3G57810	Short Up
AT3G58840	Short–Long Up
AT4G02200	Short Up
AT4G11850	Short Up
AT4G16790	Short Up–Down
AT4G17340	Short Up–Down
AT4G17615	Short Up
AT4G18270	Short Up–Down
AT4G19520	Short Up
AT4G23010	Short Up–Long Down
AT4G28390	Frequent
AT4G29700	Frequent
AT4G30210	Short Up
AT4G33300	Short Up
AT4G33920	Short Up
AT4G36945	Short–Long Up
AT4G37370	Short Up
AT5G01720	Short Up
AT5G02940	Short–Long Up
AT5G04720	Short Up–Long Down
AT5G06320	Short Up–Long Down
AT5G08760	Short Up–Long Down
AT5G11090	Short Up–Down
AT5G20070	Short Up
AT5G27930	Short Up
AT5G36220	Short Up
AT5G37540	Short Up
AT5G38120	Short–Long Up
AT5G43450	Short Up
AT5G46170	Short Up
AT5G46470	Short Up
AT5G46500	Short Up–Long Down
AT5G47120	Short Up–Long Down
AT5G47220	Short Up
AT5G48530	Short Up
AT5G49520	Short Up
AT5G50370	Short–Long Up
AT5G50915	Short Up
AT5G53050	Short Up
AT5G57150	Short–Long Up
AT5G67140	Short Up
AT1G01010	Short Up
AT1G07000	Short Up–Long Down
AT1G08930	Short Up–Long Down
AT1G12370	Short Up–Down
AT1G12880	Short Up
AT1G13340	Short Up–Long Down
AT1G13740	Short Up–Down
AT1G14130	Short Up
AT1G14370	Short Up–Long Down
AT1G18740	Frequent
AT1G20440	Short Up–Long Down
AT1G21750	Short Up
AT1G23140	Short Up–Down
AT1G23710	Short Up–Long Down
AT1G31130	Short Up
AT1G31540	Short Up
AT1G34380	Short–Long Up
AT1G49720	Short Up
AT1G50640	Short Up
AT1G52855	Short Up
AT1G56540	Short Up
AT1G58280	Short–Long Up
AT1G59700	Short Up
AT1G65690	Short Up
AT1G70480	Short Up
AT1G72750	Short–Long Up
AT1G74090	Short–Long Up
AT1G74450	Short Up
AT1G75000	Short Up
AT1G75400	Short Up
AT1G75860	Short Up
AT1G76580	Short–Long Up
AT1G77420	Short Up
AT1G77680	Short Up
AT1G78070	Short Up
AT1G78190	Short–Long Up
AT1G80130	Short Up–Down
AT2G15480	Short Up
AT2G16600	Short Up
AT2G20142	Short Up–Long Down
AT2G21560	Short Up–Down
AT2G26660	Short Up
AT2G27660	Short Up
AT2G30870	Short–Long Up
AT2G31865	Short Up–Long Down
AT2G34640	Short–Long Up
