Gene1	Gene2	Correlation	source
AT5G03740	AT1G74300	0.639336356262945	GENIE&WGCNA
AT1G70000	AT4G33040	0.639222446815332	GENIE&WGCNA
AT1G08465	AT5G45260	0.638789583755038	GENIE&WGCNA
AT2G40340	AT5G09230	0.638707678790391	GENIE&WGCNA
AT5G63790	AT2G06925	0.638700672239963	GENIE&WGCNA
AT2G35940	AT5G07590	0.638388820803269	GENIE&WGCNA
AT4G01280	AT2G19460	0.638365818031453	GENIE&WGCNA
AT1G26260	AT5G47330	0.638255257935756	GENIE&WGCNA
AT1G12860	AT3G16000	0.638232563479254	GENIE&WGCNA
AT5G12850	AT1G76340	0.638231874012357	GENIE&WGCNA
AT1G58110	AT4G11850	0.638161174655079	GENIE&WGCNA
AT2G47890	AT2G43910	0.638060091246919	GENIE&WGCNA
AT3G57980	AT3G53830	0.637951766628738	GENIE&WGCNA
AT2G40340	AT2G40460	0.637829733019151	GENIE&WGCNA
AT1G12860	AT1G74600	0.637505708683698	GENIE&WGCNA
AT4G01280	AT4G31000	0.637466102365738	GENIE&WGCNA
AT2G44730	AT5G13980	0.637234698948815	GENIE&WGCNA
AT5G52660	AT3G18440	0.637221090649133	GENIE&WGCNA
AT1G45249	AT5G43400	0.637170801971444	GENIE&WGCNA
AT3G60390	AT1G15530	0.636989152425563	GENIE&WGCNA
AT1G12860	AT3G20500	0.636942387847846	GENIE&WGCNA
AT1G12860	AT4G32710	0.636643923654315	GENIE&WGCNA
AT4G36900	AT3G18440	0.636551727643934	GENIE&WGCNA
AT4G31650	AT4G34960	0.636543440538351	GENIE&WGCNA
AT1G36060	AT5G15820	0.636406690995837	GENIE&WGCNA
AT2G44730	AT3G51895	0.636192751987511	GENIE&WGCNA
AT1G19700	AT3G14240	0.636139279723049	GENIE&WGCNA
AT1G12860	AT5G64400	0.636138208410786	GENIE&WGCNA
AT5G65310	AT4G19900	0.635756835683673	GENIE&WGCNA
AT3G28910	AT2G44730	0.635702333526196	GENIE&WGCNA
AT1G45249	AT2G44360	0.635692124261237	GENIE&WGCNA
AT5G12840	AT4G12900	0.635568395446374	GENIE&WGCNA
AT1G45249	AT5G52570	0.635562355529362	GENIE&WGCNA
AT1G36060	AT2G44080	0.635490427838222	GENIE&WGCNA
AT1G58110	AT5G05680	0.635473579727892	GENIE&WGCNA
AT1G19700	AT4G31390	0.635421028057047	GENIE&WGCNA
AT1G58100	AT4G38520	0.635371963198133	GENIE&WGCNA
AT2G40340	AT3G57190	0.635195190382621	GENIE&WGCNA
AT3G23690	AT5G58520	0.635141984196372	GENIE&WGCNA
AT1G45249	AT3G29200	0.635095050763491	GENIE&WGCNA
AT5G12850	AT3G06910	0.635080072278039	GENIE&WGCNA
AT5G65310	AT3G04290	0.63504026852741	GENIE&WGCNA
AT4G00180	AT3G59500	0.635038756831199	GENIE&WGCNA
AT2G27110	AT2G47830	0.634827615439157	GENIE&WGCNA
AT2G35940	AT2G42975	0.634800924614144	GENIE&WGCNA
AT2G16720	AT4G34950	0.63479704711923	GENIE&WGCNA
AT2G27110	AT5G60820	0.634761859905692	GENIE&WGCNA
AT5G12850	AT1G12460	0.634707047480579	GENIE&WGCNA
AT5G65310	AT4G38480	0.634570768511427	GENIE&WGCNA
AT5G13330	AT2G44080	0.634441545722992	GENIE&WGCNA
AT3G60390	AT1G61350	0.634433000352581	GENIE&WGCNA
AT2G42380	AT4G15490	0.634397665528069	GENIE&WGCNA
AT1G45249	AT5G15600	0.634236843539851	GENIE&WGCNA
AT1G26260	AT3G59390	0.63394864670125	GENIE&WGCNA
AT2G42380	AT2G27820	0.633892114212479	GENIE&WGCNA
AT1G45249	AT5G52510	0.633858417855874	GENIE&WGCNA
AT1G06180	AT4G06701	0.633849428530854	GENIE&WGCNA
AT2G44730	AT1G49490	0.633832502688687	GENIE&WGCNA
AT4G00180	AT3G49870	0.633799107556871	GENIE&WGCNA
AT5G65210	AT3G27220	0.633778663773852	GENIE&WGCNA
AT5G65310	AT5G05680	0.63373159311195	GENIE&WGCNA
AT2G37060	AT2G40460	0.633661956578209	GENIE&WGCNA
AT1G58110	AT5G27380	0.633515184434639	GENIE&WGCNA
AT5G45260	AT2G42960	0.633385934371787	GENIE&WGCNA
AT5G12850	AT3G19570	0.633309347891791	GENIE&WGCNA
AT4G00050	AT2G37180	0.6332376967561	GENIE&WGCNA
AT1G26260	AT5G52310	0.633021444552172	GENIE&WGCNA
AT3G60630	AT2G47750	0.633017599147046	GENIE&WGCNA
AT5G45260	AT5G10790	0.632870761828079	GENIE&WGCNA
AT5G05410	AT3G10820	0.6328429311069	GENIE&WGCNA
