GSE111062_SEEDLING_C_60PPFD_30MIN_7D	GSE111062_SEEDLING_C_60PPFD_360MIN_7D	GSE111062_SEEDLING_C_60PPFD_720MIN_7D	GSE111062_SEEDLING_C_60PPFD_1440MIN_7D	GSE111062_SEEDLING_C_60PPFD_2880MIN_7D	GSE111062_SEEDLING_C_60PPFD_4320MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_30MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_360MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_720MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_1440MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_2880MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_4320MIN_7D	GSE117296_LOCAL LEAF_C_50PPFD_0MIN_25D	GSE117296_LOCAL LEAF_HL_2000PPFD_2MIN_25D	GSE117296_LOCAL LEAF_HL_2000PPFD_4MIN_25D	GSE117296_LOCAL LEAF_HL_2000PPFD_8MIN_25D	GSE117296_SYSTEMIC LEAF_C_50PPFD_0MIN_25D	GSE117296_SYSTEMIC LEAF_HL_2000PPFD_2MIN_25D	GSE117296_SYSTEMIC LEAF_HL_2000PPFD_4MIN_25D	GSE117296_SYSTEMIC LEAF_HL_2000PPFD_8MIN_25D	GSE117298_LOCAL LEAF_C_50PPFD_0MIN_25D	GSE117298_LOCAL LEAF_HL_2000PPFD_8MIN_25D	GSE117298_SYSTEMIC LEAF_C_50PPFD_0MIN_25D	GSE117298_SYSTEMIC LEAF_HL_2000PPFD_8MIN_25D	GSE132626_LEAF_C_120PPFD_0MIN_15D	GSE132626_LEAF_HL_500PPFD_15MIN_15D	GSE132626_LEAF_HL_500PPFD_30MIN_15D	GSE132626_LEAF_HL_500PPFD_60MIN_15D	GSE132626_LEAF_HL_500PPFD_120MIN_15D	GSE132626_LEAF_HL_500PPFD_240MIN_15D	GSE134391_LEAF_C_50PPFD_420MIN_30D	GSE134391_LEAF_HL_600PPFD_420MIN_30D	GSE137650_LEAF_C_125PPFD_0MIN_21D	GSE137650_LEAF_C_125PPFD_360MIN_21D	GSE137650_LEAF_C_125PPFD_1800MIN_21D	GSE137650_LEAF_HL_500PPFD_360MIN_21D	GSE137650_LEAF_HL_500PPFD_1800MIN_21D	GSE138196_LOCAL LEAF_C_50PPFD_0MIN_28D	GSE138196_SYSTEMIC LEAF_C_50PPFD_0MIN_28D	GSE138196_LOCAL LEAF_HL_1700PPFD_2MIN_28D	GSE138196_SYSTEMIC LEAF_HL_1700PPFD_2MIN_28D	GSE138196_LOCAL LEAF_HL_1700PPFD_8MIN_28D	GSE138196_SYSTEMIC LEAF_HL_1700PPFD_8MIN_28D	GSE141916_LOCAL LEAF_C_50PPFD_0MIN_28D	GSE141916_LOCAL LEAF_HL_1700PPFD_2MIN_28D	GSE141916_LOCAL LEAF_HL_1700PPFD_8MIN_28D	GSE141916_LOCAL LEAF_HL_1700PPFD_30MIN_28D	GSE141916_SYSTEMIC LEAF_C_50PPFD_0MIN_28D	GSE141916_SYSTEMIC LEAF_HL_1700PPFD_2MIN_28D	GSE141916_SYSTEMIC LEAF_HL_1700PPFD_8MIN_28D	GSE141916_SYSTEMIC LEAF_HL_1700PPFD_30MIN_28D	GSE147962_SEEDLING_C_50PPFD_0MIN_10D	GSE147962_SEEDLING_HL_700PPFD_90MIN_10D	GSE158898_LEAF_C_150PPFD_0MIN_35D	GSE158898_LEAF_HL_1100PPFD_210MIN_35D	GSE201015_LEAF_C_100PPFD_0MIN_21D	GSE201015_LEAF_HL_1000PPFD_30MIN_21D	GSE201015_LEAF_HL_1000PPFD_60MIN_21D	GSE208563_SEEDLING_C_100PPFD_0MIN_7D	GSE208563_SEEDLING_HL_1200PPFD_360MIN_7D	GSE236872_LEAF_C_100PPFD_0MIN_28D	GSE236872_LEAF_HL_500PPFD_240MIN_28D	GSE236872_LEAF_HL_500PPFD_480MIN_28D	GSE236872_LEAF_HL_500PPFD_960MIN_28D	GSE242435_LEAF_C_50PPFD_0MIN_30D	GSE242435_LEAF_HL_900PPFD_480MIN_30D	GSE268410_LEAF_C_120PPFD_180MIN_32D	GSE268410_LEAF_HL_1000PPFD_180MIN_32D	GSE277977_LEAF_C_100PPFD_0MIN_39D	GSE277977_LEAF_HL_1000PPFD_15MIN_39D	GSE277977_LEAF_HL_1000PPFD_60MIN_39D	GSE60865_SEEDLING_C_50PPFD_0MIN_21D	GSE60865_SEEDLING_HL_1000PPFD_0.33MIN_21D	GSE60865_SEEDLING_HL_1000PPFD_1MIN_21D	PRJNA817005_SEEDLING_C_130PPFD_0MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_2MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_2MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_10MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_10MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_30MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_30MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_60MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_60MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_180MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_180MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_1440MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_1440MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_4320MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_4320MIN_49D	PRJNA899318_SEEDLING_C_120PPFD_0MIN_7D	PRJNA899318_SEEDLING_HL_1000PPFD_240MIN_7D	GSE251796_SEEDLING_C_130PPFD_60MIN_7D	GSE251796_SEEDLING_HL_1050PPFD_60MIN_7D	GSE251796_SEEDLING_C_130PPFD_1440MIN_7D	GSE251796_SEEDLING_HL_1050PPFD_1440MIN_7D	GSE251796_SEEDLING_C_130PPFD_7200MIN_7D	GSE251796_SEEDLING_HL_1050PPFD_7200MIN_7D	PRJNA699408_LEAF_C_150PPFD_0MIN_49D	PRJNA699408_LEAF_HL_1200PPFD_480MIN_49D
GSE137650_LEAF_HL_500PPFD_360MIN_21D	0.89	0.88	0.86	0.88	0.87	0.86	0.88	0.79	0.78	0.71	0.73	0.72	0.81	0.77	0.8	0.79	0.81	0.77	0.81	0.82	0.75	0.72	0.74	0.74	0.84	0.84	0.79	0.82	0.77	0.83	0.82	0.76	0.85	0.84	0.92	1	0.98	0.69	0.73	0.73	0.78	0.68	0.77	0.83	0.83	0.83	0.71	0.83	0.84	0.84	0.84	0.83	0.63	0.86	0.86	0.83	0.82	0.85	0.87	0.8	0.92	0.96	0.86	0.84	0.86	0.75	0.9	0.88	0.78	0.73	0.79	0.85	0.85	0.84	0.88	0.85	0.88	0.86	0.89	0.88	0.87	0.84	0.88	0.88	0.83	0.88	0.8	0.84	0.74	0.9	0.81	0.09	0.07	0.08	0.08	0.08	0.04	0.07	0.06
GSE137650_LEAF_HL_500PPFD_1800MIN_21D	0.91	0.88	0.87	0.9	0.89	0.88	0.89	0.83	0.82	0.76	0.78	0.78	0.8	0.73	0.8	0.78	0.8	0.73	0.81	0.8	0.74	0.73	0.72	0.73	0.88	0.87	0.83	0.85	0.78	0.85	0.79	0.79	0.87	0.82	0.9	0.98	1	0.73	0.74	0.77	0.78	0.73	0.78	0.84	0.84	0.85	0.74	0.83	0.84	0.85	0.84	0.82	0.66	0.85	0.89	0.81	0.81	0.84	0.9	0.84	0.9	0.95	0.87	0.87	0.83	0.79	0.89	0.91	0.81	0.76	0.82	0.84	0.84	0.82	0.87	0.82	0.87	0.85	0.88	0.87	0.87	0.83	0.89	0.87	0.86	0.87	0.84	0.85	0.8	0.86	0.81	0.09	0.07	0.08	0.08	0.08	0.04	0.07	0.06
GSE138196_LOCAL LEAF_C_50PPFD_0MIN_28D	0.87	0.82	0.8	0.85	0.87	0.88	0.87	0.78	0.69	0.67	0.72	0.77	0.9	0.83	0.93	0.92	0.88	0.8	0.91	0.87	0.88	0.91	0.87	0.88	0.94	0.91	0.92	0.88	0.72	0.74	0.68	0.63	0.85	0.74	0.75	0.69	0.73	1	0.83	0.99	0.81	1	0.84	0.93	0.92	0.92	0.88	0.92	0.91	0.9	0.89	0.82	0.83	0.78	0.85	0.74	0.76	0.77	0.85	0.77	0.79	0.73	0.6	0.62	0.76	0.68	0.84	0.87	0.91	0.89	0.91	0.85	0.85	0.85	0.83	0.8	0.83	0.81	0.83	0.83	0.85	0.77	0.88	0.8	0.83	0.82	0.79	0.87	0.83	0.74	0.59	0.07	0.06	0.07	0.07	0.06	0.03	0.06	0.06
GSE138196_SYSTEMIC LEAF_C_50PPFD_0MIN_28D	0.87	0.87	0.83	0.85	0.87	0.87	0.88	0.78	0.71	0.67	0.7	0.73	0.85	0.79	0.86	0.85	0.85	0.79	0.86	0.84	0.84	0.85	0.84	0.84	0.86	0.86	0.84	0.82	0.73	0.74	0.76	0.67	0.8	0.76	0.81	0.73	0.74	0.83	1	0.86	0.99	0.83	0.99	0.87	0.86	0.86	0.79	0.87	0.87	0.86	0.86	0.83	0.76	0.82	0.82	0.81	0.82	0.83	0.84	0.76	0.83	0.78	0.65	0.63	0.81	0.69	0.87	0.84	0.86	0.82	0.84	0.88	0.88	0.88	0.87	0.85	0.87	0.85	0.88	0.87	0.88	0.81	0.88	0.86	0.8	0.86	0.75	0.85	0.82	0.81	0.67	0.07	0.06	0.07	0.07	0.06	0.03	0.07	0.06
GSE138196_LOCAL LEAF_HL_1700PPFD_2MIN_28D	0.89	0.86	0.83	0.87	0.9	0.91	0.9	0.79	0.7	0.67	0.73	0.77	0.93	0.85	0.95	0.95	0.91	0.83	0.94	0.9	0.91	0.94	0.9	0.91	0.96	0.94	0.94	0.91	0.76	0.78	0.74	0.65	0.87	0.8	0.8	0.73	0.77	0.99	0.86	1	0.85	0.99	0.87	0.96	0.95	0.96	0.91	0.95	0.94	0.94	0.93	0.84	0.84	0.84	0.87	0.8	0.82	0.82	0.87	0.79	0.85	0.78	0.63	0.64	0.81	0.7	0.88	0.89	0.94	0.94	0.94	0.89	0.89	0.89	0.88	0.85	0.88	0.85	0.88	0.88	0.9	0.81	0.92	0.85	0.85	0.86	0.81	0.9	0.84	0.8	0.63	0.07	0.07	0.08	0.08	0.06	0.04	0.07	0.06
GSE138196_SYSTEMIC LEAF_HL_1700PPFD_2MIN_28D	0.89	0.9	0.86	0.88	0.88	0.89	0.9	0.8	0.73	0.69	0.71	0.73	0.86	0.81	0.87	0.85	0.86	0.8	0.87	0.86	0.86	0.85	0.85	0.85	0.87	0.88	0.84	0.83	0.76	0.77	0.8	0.7	0.81	0.78	0.85	0.78	0.78	0.81	0.99	0.85	1	0.82	1	0.88	0.88	0.88	0.8	0.88	0.88	0.88	0.88	0.85	0.76	0.85	0.83	0.84	0.86	0.87	0.86	0.78	0.86	0.82	0.69	0.66	0.84	0.71	0.9	0.85	0.87	0.82	0.84	0.9	0.9	0.9	0.9	0.88	0.9	0.87	0.91	0.9	0.9	0.84	0.9	0.89	0.82	0.89	0.77	0.86	0.82	0.85	0.71	0.08	0.07	0.07	0.07	0.06	0.04	0.07	0.06
GSE138196_LOCAL LEAF_HL_1700PPFD_8MIN_28D	0.87	0.83	0.8	0.85	0.88	0.89	0.88	0.77	0.68	0.66	0.71	0.76	0.91	0.83	0.94	0.92	0.88	0.8	0.92	0.88	0.89	0.92	0.88	0.9	0.94	0.92	0.93	0.88	0.72	0.75	0.7	0.62	0.84	0.76	0.76	0.68	0.73	1	0.83	0.99	0.82	1	0.84	0.94	0.93	0.93	0.88	0.93	0.92	0.91	0.91	0.81	0.82	0.8	0.85	0.76	0.77	0.78	0.85	0.77	0.8	0.73	0.6	0.61	0.77	0.68	0.85	0.87	0.93	0.91	0.92	0.86	0.86	0.86	0.84	0.81	0.84	0.82	0.84	0.84	0.86	0.78	0.88	0.81	0.83	0.83	0.79	0.88	0.83	0.75	0.58	0.06	0.06	0.07	0.07	0.06	0.03	0.06	0.06
GSE138196_SYSTEMIC LEAF_HL_1700PPFD_8MIN_28D	0.9	0.9	0.87	0.88	0.89	0.9	0.91	0.81	0.74	0.69	0.72	0.75	0.87	0.81	0.88	0.86	0.87	0.81	0.88	0.86	0.86	0.86	0.85	0.86	0.89	0.89	0.86	0.85	0.76	0.78	0.79	0.71	0.82	0.78	0.85	0.77	0.78	0.84	0.99	0.87	1	0.84	1	0.89	0.89	0.89	0.81	0.89	0.89	0.89	0.89	0.86	0.77	0.85	0.85	0.84	0.86	0.87	0.87	0.79	0.86	0.82	0.69	0.67	0.84	0.72	0.9	0.86	0.89	0.84	0.86	0.91	0.9	0.9	0.9	0.88	0.9	0.88	0.91	0.9	0.9	0.84	0.9	0.89	0.83	0.89	0.78	0.87	0.83	0.85	0.71	0.08	0.07	0.07	0.07	0.06	0.04	0.07	0.06
GSE141916_LOCAL LEAF_C_50PPFD_0MIN_28D	0.94	0.93	0.87	0.9	0.92	0.93	0.94	0.79	0.71	0.66	0.71	0.74	0.98	0.93	0.99	0.97	0.98	0.92	0.99	0.97	0.96	0.96	0.96	0.96	0.97	0.97	0.93	0.91	0.78	0.8	0.86	0.68	0.87	0.86	0.91	0.83	0.84	0.93	0.87	0.96	0.88	0.94	0.89	1	1	0.99	0.9	1	1	0.99	0.99	0.9	0.79	0.92	0.88	0.91	0.91	0.91	0.89	0.78	0.94	0.87	0.68	0.67	0.91	0.72	0.96	0.91	0.98	0.93	0.93	0.94	0.94	0.95	0.95	0.93	0.95	0.92	0.95	0.95	0.94	0.88	0.95	0.92	0.85	0.94	0.79	0.94	0.81	0.91	0.67	0.08	0.07	0.08	0.07	0.06	0.04	0.08	0.07
GSE141916_LOCAL LEAF_HL_1700PPFD_2MIN_28D	0.93	0.94	0.87	0.9	0.92	0.93	0.94	0.78	0.69	0.64	0.7	0.73	0.97	0.92	0.98	0.96	0.97	0.92	0.98	0.96	0.97	0.96	0.96	0.97	0.96	0.97	0.92	0.91	0.78	0.8	0.87	0.67	0.86	0.88	0.93	0.83	0.84	0.92	0.86	0.95	0.88	0.93	0.89	1	1	0.99	0.89	0.99	1	1	1	0.9	0.77	0.94	0.88	0.93	0.92	0.92	0.88	0.77	0.94	0.87	0.68	0.65	0.92	0.71	0.96	0.9	0.99	0.94	0.92	0.94	0.94	0.95	0.95	0.94	0.96	0.93	0.95	0.96	0.94	0.89	0.94	0.93	0.83	0.95	0.78	0.94	0.81	0.92	0.66	0.08	0.07	0.08	0.07	0.06	0.04	0.08	0.07
GSE141916_LOCAL LEAF_HL_1700PPFD_8MIN_28D	0.93	0.94	0.87	0.9	0.92	0.93	0.94	0.79	0.71	0.66	0.71	0.74	0.97	0.91	0.98	0.97	0.96	0.9	0.98	0.95	0.96	0.97	0.95	0.96	0.96	0.98	0.93	0.92	0.79	0.81	0.86	0.68	0.87	0.87	0.92	0.83	0.85	0.92	0.86	0.96	0.88	0.93	0.89	0.99	0.99	1	0.92	0.99	0.99	0.99	0.99	0.89	0.8	0.93	0.89	0.92	0.92	0.92	0.89	0.79	0.94	0.87	0.69	0.67	0.91	0.72	0.96	0.91	0.98	0.96	0.94	0.94	0.93	0.94	0.95	0.93	0.95	0.92	0.95	0.95	0.96	0.89	0.95	0.93	0.85	0.94	0.8	0.93	0.82	0.91	0.7	0.08	0.07	0.08	0.08	0.06	0.04	0.08	0.07
GSE141916_LOCAL LEAF_HL_1700PPFD_30MIN_28D	0.84	0.82	0.79	0.82	0.84	0.85	0.85	0.75	0.68	0.65	0.68	0.71	0.88	0.81	0.9	0.92	0.87	0.79	0.88	0.86	0.85	0.92	0.84	0.86	0.88	0.88	0.89	0.87	0.75	0.74	0.73	0.65	0.81	0.74	0.78	0.71	0.74	0.88	0.79	0.91	0.8	0.88	0.81	0.9	0.89	0.92	1	0.89	0.89	0.88	0.88	0.8	0.89	0.8	0.82	0.78	0.83	0.83	0.81	0.76	0.81	0.76	0.62	0.62	0.79	0.68	0.84	0.84	0.88	0.95	0.93	0.84	0.83	0.83	0.83	0.8	0.83	0.8	0.84	0.83	0.91	0.77	0.89	0.81	0.82	0.82	0.77	0.84	0.78	0.77	0.72	0.07	0.07	0.07	0.07	0.06	0.04	0.07	0.06
GSE141916_SYSTEMIC LEAF_C_50PPFD_0MIN_28D	0.93	0.93	0.87	0.9	0.92	0.93	0.94	0.78	0.7	0.65	0.69	0.72	0.99	0.94	0.99	0.98	0.98	0.94	0.99	0.98	0.97	0.96	0.96	0.97	0.96	0.96	0.92	0.9	0.77	0.79	0.87	0.67	0.87	0.86	0.92	0.83	0.83	0.92	0.87	0.95	0.88	0.93	0.89	1	0.99	0.99	0.89	1	1	0.99	0.99	0.91	0.78	0.93	0.87	0.92	0.91	0.91	0.89	0.77	0.94	0.87	0.68	0.66	0.92	0.71	0.96	0.9	0.97	0.93	0.92	0.95	0.94	0.95	0.95	0.93	0.95	0.92	0.95	0.95	0.94	0.89	0.94	0.92	0.84	0.95	0.78	0.93	0.8	0.92	0.67	0.08	0.07	0.08	0.07	0.06	0.04	0.08	0.06
GSE141916_SYSTEMIC LEAF_HL_1700PPFD_2MIN_28D	0.94	0.94	0.87	0.9	0.92	0.93	0.94	0.78	0.7	0.64	0.69	0.72	0.98	0.93	0.98	0.96	0.97	0.93	0.99	0.96	0.97	0.96	0.96	0.97	0.96	0.97	0.92	0.9	0.78	0.8	0.88	0.67	0.86	0.88	0.93	0.84	0.84	0.91	0.87	0.94	0.88	0.92	0.89	1	1	0.99	0.89	1	1	1	1	0.9	0.77	0.95	0.88	0.94	0.93	0.92	0.88	0.77	0.95	0.87	0.68	0.66	0.93	0.71	0.97	0.9	0.98	0.94	0.92	0.95	0.94	0.95	0.96	0.94	0.96	0.93	0.96	0.96	0.94	0.9	0.94	0.93	0.83	0.96	0.78	0.94	0.8	0.93	0.67	0.08	0.07	0.08	0.07	0.06	0.04	0.08	0.07
GSE141916_SYSTEMIC LEAF_HL_1700PPFD_8MIN_28D	0.94	0.95	0.87	0.9	0.92	0.93	0.95	0.78	0.7	0.65	0.7	0.72	0.97	0.93	0.98	0.96	0.97	0.92	0.98	0.96	0.97	0.96	0.96	0.97	0.95	0.97	0.92	0.9	0.78	0.81	0.89	0.68	0.86	0.89	0.94	0.84	0.85	0.9	0.86	0.94	0.88	0.91	0.89	0.99	1	0.99	0.88	0.99	1	1	1	0.9	0.76	0.95	0.88	0.94	0.93	0.92	0.89	0.77	0.95	0.88	0.69	0.66	0.93	0.71	0.97	0.9	0.98	0.93	0.92	0.95	0.94	0.95	0.96	0.94	0.96	0.93	0.96	0.96	0.94	0.9	0.94	0.94	0.83	0.96	0.78	0.94	0.8	0.93	0.67	0.08	0.07	0.08	0.07	0.06	0.04	0.08	0.07
GSE141916_SYSTEMIC LEAF_HL_1700PPFD_30MIN_28D	0.93	0.94	0.86	0.89	0.91	0.92	0.94	0.77	0.68	0.63	0.68	0.71	0.97	0.93	0.98	0.96	0.97	0.93	0.98	0.96	0.97	0.96	0.97	0.97	0.95	0.97	0.91	0.9	0.79	0.81	0.89	0.66	0.85	0.89	0.94	0.84	0.84	0.89	0.86	0.93	0.88	0.91	0.89	0.99	1	0.99	0.88	0.99	1	1	1	0.9	0.76	0.96	0.86	0.95	0.93	0.92	0.87	0.75	0.95	0.87	0.67	0.64	0.93	0.7	0.97	0.89	0.98	0.93	0.91	0.94	0.94	0.95	0.96	0.95	0.96	0.94	0.96	0.96	0.94	0.9	0.93	0.94	0.82	0.96	0.77	0.93	0.79	0.94	0.66	0.08	0.07	0.08	0.07	0.06	0.04	0.08	0.07
GSE147962_SEEDLING_C_50PPFD_0MIN_10D	0.94	0.93	0.95	0.93	0.93	0.93	0.94	0.84	0.78	0.72	0.76	0.78	0.9	0.89	0.89	0.89	0.9	0.88	0.9	0.91	0.88	0.86	0.87	0.87	0.88	0.87	0.83	0.84	0.76	0.8	0.88	0.74	0.85	0.81	0.89	0.83	0.82	0.82	0.83	0.84	0.85	0.81	0.86	0.9	0.9	0.89	0.8	0.91	0.9	0.9	0.9	1	0.82	0.87	0.85	0.88	0.89	0.9	0.92	0.83	0.89	0.87	0.75	0.7	0.91	0.76	0.91	0.86	0.87	0.82	0.85	0.96	0.96	0.96	0.93	0.92	0.91	0.9	0.92	0.93	0.91	0.87	0.92	0.93	0.84	0.92	0.78	0.87	0.78	0.88	0.74	0.08	0.07	0.08	0.07	0.07	0.04	0.07	0.06
GSE147962_SEEDLING_HL_700PPFD_90MIN_10D	0.79	0.76	0.79	0.79	0.81	0.81	0.81	0.78	0.72	0.71	0.74	0.76	0.78	0.71	0.79	0.81	0.76	0.69	0.77	0.76	0.74	0.8	0.74	0.75	0.8	0.77	0.8	0.78	0.69	0.71	0.64	0.67	0.77	0.65	0.67	0.63	0.66	0.83	0.76	0.84	0.76	0.82	0.77	0.79	0.77	0.8	0.89	0.78	0.77	0.76	0.76	0.82	1	0.68	0.78	0.67	0.73	0.75	0.79	0.8	0.7	0.68	0.61	0.61	0.7	0.7	0.74	0.79	0.77	0.82	0.86	0.79	0.79	0.78	0.75	0.73	0.74	0.73	0.75	0.75	0.82	0.69	0.83	0.74	0.81	0.73	0.75	0.74	0.77	0.67	0.71	0.07	0.06	0.07	0.07	0.06	0.04	0.06	0.05
GSE158898_LEAF_C_150PPFD_0MIN_35D	0.89	0.93	0.84	0.85	0.86	0.87	0.9	0.72	0.65	0.6	0.66	0.65	0.92	0.9	0.92	0.89	0.93	0.9	0.93	0.92	0.93	0.91	0.93	0.93	0.87	0.92	0.85	0.86	0.79	0.82	0.94	0.64	0.82	0.95	0.97	0.86	0.85	0.78	0.82	0.84	0.85	0.8	0.85	0.92	0.94	0.93	0.8	0.93	0.95	0.95	0.96	0.87	0.68	1	0.83	0.98	0.96	0.94	0.82	0.7	0.97	0.89	0.68	0.62	0.95	0.66	0.96	0.84	0.93	0.88	0.84	0.93	0.92	0.94	0.96	0.97	0.97	0.94	0.97	0.97	0.92	0.91	0.9	0.96	0.76	0.97	0.7	0.9	0.74	0.94	0.65	0.07	0.06	0.08	0.07	0.06	0.03	0.08	0.06
GSE158898_LEAF_HL_1100PPFD_210MIN_35D	0.92	0.89	0.91	0.92	0.94	0.94	0.91	0.92	0.88	0.83	0.87	0.9	0.82	0.72	0.84	0.82	0.81	0.71	0.84	0.8	0.77	0.79	0.76	0.78	0.92	0.9	0.9	0.91	0.85	0.92	0.74	0.86	0.89	0.78	0.84	0.86	0.89	0.85	0.82	0.87	0.83	0.85	0.85	0.88	0.88	0.89	0.82	0.87	0.88	0.88	0.86	0.85	0.78	0.83	1	0.78	0.81	0.86	0.94	0.93	0.85	0.92	0.89	0.88	0.83	0.9	0.88	0.98	0.86	0.83	0.93	0.88	0.88	0.86	0.87	0.82	0.87	0.85	0.88	0.87	0.9	0.82	0.94	0.88	0.98	0.86	0.95	0.88	0.94	0.81	0.83	0.09	0.07	0.08	0.08	0.08	0.05	0.07	0.07
GSE201015_LEAF_C_100PPFD_0MIN_21D	0.87	0.93	0.84	0.83	0.84	0.85	0.89	0.7	0.62	0.55	0.61	0.6	0.91	0.91	0.91	0.88	0.93	0.92	0.92	0.92	0.94	0.9	0.93	0.93	0.84	0.89	0.8	0.82	0.73	0.77	0.97	0.63	0.77	0.92	0.97	0.83	0.81	0.74	0.81	0.8	0.84	0.76	0.84	0.91	0.93	0.92	0.78	0.92	0.94	0.94	0.95	0.88	0.67	0.98	0.78	1	0.98	0.96	0.79	0.66	0.94	0.87	0.65	0.57	0.96	0.65	0.94	0.79	0.91	0.86	0.82	0.92	0.91	0.94	0.96	0.97	0.96	0.93	0.95	0.96	0.91	0.91	0.88	0.95	0.72	0.97	0.66	0.87	0.68	0.94	0.63	0.08	0.06	0.08	0.06	0.06	0.03	0.08	0.06
GSE201015_LEAF_HL_1000PPFD_30MIN_21D	0.88	0.93	0.86	0.85	0.86	0.87	0.89	0.74	0.67	0.6	0.65	0.65	0.91	0.89	0.9	0.89	0.92	0.9	0.92	0.91	0.92	0.91	0.91	0.92	0.86	0.9	0.83	0.85	0.77	0.81	0.96	0.69	0.79	0.89	0.95	0.82	0.81	0.76	0.82	0.82	0.86	0.77	0.86	0.91	0.92	0.92	0.83	0.91	0.93	0.93	0.93	0.89	0.73	0.96	0.81	0.98	1	0.99	0.81	0.72	0.94	0.89	0.69	0.61	0.95	0.7	0.94	0.82	0.91	0.89	0.85	0.93	0.92	0.94	0.95	0.96	0.95	0.93	0.95	0.95	0.94	0.9	0.91	0.95	0.78	0.96	0.7	0.87	0.72	0.92	0.7	0.09	0.08	0.09	0.08	0.07	0.05	0.09	0.07
GSE201015_LEAF_HL_1000PPFD_60MIN_21D	0.9	0.94	0.9	0.88	0.88	0.89	0.91	0.8	0.73	0.66	0.71	0.71	0.9	0.87	0.9	0.88	0.91	0.87	0.91	0.9	0.9	0.88	0.89	0.89	0.87	0.9	0.85	0.87	0.81	0.85	0.95	0.75	0.82	0.88	0.94	0.85	0.84	0.77	0.83	0.82	0.87	0.78	0.87	0.91	0.92	0.92	0.83	0.91	0.92	0.92	0.92	0.9	0.75	0.94	0.86	0.96	0.99	1	0.85	0.77	0.93	0.92	0.76	0.68	0.95	0.76	0.94	0.86	0.9	0.88	0.88	0.94	0.93	0.94	0.95	0.95	0.94	0.93	0.95	0.95	0.94	0.9	0.94	0.96	0.83	0.95	0.75	0.87	0.77	0.91	0.74	0.1	0.09	0.1	0.09	0.08	0.05	0.09	0.08
GSE208563_SEEDLING_C_100PPFD_0MIN_7D	0.97	0.93	0.96	0.98	0.98	0.98	0.96	0.92	0.89	0.83	0.86	0.88	0.85	0.77	0.86	0.85	0.84	0.75	0.86	0.84	0.79	0.8	0.78	0.79	0.92	0.9	0.88	0.88	0.79	0.85	0.76	0.82	0.9	0.77	0.86	0.87	0.9	0.85	0.84	0.87	0.86	0.85	0.87	0.89	0.88	0.89	0.81	0.89	0.88	0.89	0.87	0.92	0.79	0.82	0.94	0.79	0.81	0.85	1	0.94	0.86	0.9	0.86	0.86	0.84	0.85	0.9	0.96	0.86	0.82	0.9	0.91	0.91	0.89	0.89	0.84	0.88	0.87	0.9	0.89	0.91	0.84	0.94	0.89	0.94	0.87	0.92	0.88	0.88	0.85	0.83	0.09	0.08	0.08	0.08	0.08	0.05	0.07	0.07
GSE208563_SEEDLING_HL_1200PPFD_360MIN_7D	0.89	0.84	0.91	0.92	0.92	0.91	0.88	0.96	0.96	0.94	0.92	0.94	0.73	0.62	0.74	0.73	0.71	0.6	0.73	0.71	0.66	0.69	0.64	0.66	0.84	0.8	0.82	0.83	0.79	0.85	0.65	0.91	0.85	0.65	0.75	0.8	0.84	0.77	0.76	0.79	0.78	0.77	0.79	0.78	0.77	0.79	0.76	0.77	0.77	0.77	0.75	0.83	0.8	0.7	0.93	0.66	0.72	0.77	0.94	1	0.74	0.84	0.88	0.89	0.74	0.91	0.79	0.92	0.75	0.73	0.85	0.81	0.81	0.78	0.78	0.71	0.77	0.75	0.79	0.78	0.83	0.73	0.87	0.79	0.95	0.76	0.94	0.78	0.9	0.73	0.87	0.1	0.08	0.08	0.09	0.09	0.06	0.06	0.07
