GeneID	classification
AT3G08720	Short–Long Up
AT3G14620	Short–Long Up
AT3G29575	Frequent
AT4G09750	Short–Long Up
AT4G26150	Short–Long Up
AT4G31870	Short–Long Up
AT4G34590	Short–Long Up
AT5G01600	Short–Long Up
AT5G02490	Frequent
AT5G03285	Frequent
AT5G11650	Short–Long Up
AT5G13200	Short–Long Up
AT5G13490	Short–Long Up
AT5G24120	Short–Long Up
AT5G28910	Short–Long Up
AT5G35735	Short Up
AT5G37550	Short–Long Up
AT5G41400	Short–Long Up
AT5G43620	Short Up
AT5G49330	Short–Long Up
AT5G49480	Frequent
AT5G54470	Frequent
AT5G63160	Frequent
AT5G65870	Short–Long Up
AT1G07890	Short–Long Up
AT1G17100	Short–Long Up
AT1G19670	Short–Long Up
AT1G20450	Short–Long Up
AT1G24580	Frequent
AT1G55210	Short–Long Up
AT1G60260	Short–Long Up
AT1G64950	Short–Long Up
AT2G16720	Short–Long Up
AT2G19310	Short–Long Up
AT2G21130	Frequent
AT2G22500	Short Up
AT2G23340	Short–Long Up
AT2G24100	Short–Long Up
AT2G26560	Short Up–Long Down
AT2G37180	Short–Long Up
AT2G37970	Short–Long Up
AT2G39650	Short–Long Up
AT3G01820	Short–Long Up
AT3G02040	Short–Long Up
AT3G04710	Short–Long Up
AT3G09350	Short–Long Up
AT3G10020	Short Up–Long Down
AT3G17800	Short–Long Up
AT3G23210	Short–Long Up
AT3G57540	Short–Long Up
AT4G02550	Short Up
AT4G05020	Short–Long Up
AT4G12290	Frequent
AT4G13800	Short–Long Up
AT4G24010	Short–Long Up
AT4G33440	Short–Long Up
AT4G36648	Short Up
AT5G12020	Short–Long Up
AT5G12110	Short–Long Up
AT5G13930	Short–Long Up
AT5G20230	Short–Long Up
AT5G43380	Frequent
AT5G43400	Short–Long Up
AT5G46710	Frequent
AT5G54960	Frequent
AT5G58770	Short–Long Up
AT5G64550	Short–Long Up
AT1G03940	Short–Long Up
AT1G14360	Short–Long Up
AT1G14980	Short–Long Up
AT1G33560	Short–Long Up
AT1G44350	Short–Long Up
AT1G66540	Short–Long Up
AT1G72900	Short–Long Up
AT1G76590	Frequent
AT1G76600	Frequent
AT1G78510	Short–Long Up
AT2G25140	Short–Long Up
AT2G25620	Short–Long Up
AT2G25690	Short–Long Up
AT2G30040	Short–Long Up
AT2G33590	Short–Long Up
AT2G38470	Short–Long Up
AT2G40840	Frequent
AT2G41640	Short–Long Up
AT3G07770	Short–Long Up
AT3G09440	Frequent
AT3G15990	Short–Long Up
AT3G16330	Short–Long Up
AT3G19270	Frequent
AT3G19580	Short–Long Up
AT3G19970	Short–Long Up
AT3G50910	Short–Long Up
AT3G57880	Short–Long Up
AT4G10390	Short–Long Up
AT4G14690	Frequent
AT4G21570	Short–Long Up
AT4G25130	Short–Long Up
AT4G27940	Short–Long Up
AT4G33030	Short–Long Up
AT5G02270	Short–Long Up
AT5G08640	Short–Long Up
AT5G08790	Short–Long Up
AT5G17760	Short–Long Up
AT5G19240	Short Up–Long Down
AT5G24155	Short–Long Up
AT5G42150	Short–Long Up
AT5G42760	Frequent
AT5G45750	Short Up–Down
AT5G52310	Short–Long Up
AT5G53970	Short–Long Up
AT5G64310	Short Up
AT5G66070	Short–Long Up
AT1G01520	Frequent
AT1G01940	Short–Long Up
AT1G04980	Short–Long Up
AT1G07350	Short–Long Up
AT1G09070	Short Up
AT1G09500	Short–Long Up
AT1G10760	Short–Long Up
AT1G10960	Short–Long Up
AT1G19490	Short–Long Up
AT1G26770	Short–Long Up
AT1G28230	Frequent
AT1G51760	Short–Long Up
AT1G52720	Short–Long Up
AT1G62540	Short–Long Up
AT1G64900	Short–Long Up
AT1G65060	Short–Long Up
AT1G66090	Short Up
AT1G69870	Frequent
AT1G73010	Short–Long Up
AT1G73480	Short–Long Up
AT1G75810	Short–Long Up
AT1G77280	Short–Long Up
AT1G78600	Frequent
AT1G80120	Short–Long Up
AT2G20940	Short–Long Up
AT2G25530	Short–Long Up
AT2G29350	Short–Long Up
AT2G36460	Short–Long Up
AT2G37760	Short–Long Up
AT3G13310	Short–Long Up
AT3G16910	Short–Long Up
AT3G19150	Short–Long Up
AT3G46970	Frequent
AT3G49120	Short–Long Up
AT3G49320	Short–Long Up
AT3G58070	Frequent
AT4G15248	Frequent
AT4G21320	Short–Long Up
AT4G23990	Short–Long Up
AT4G24960	Short–Long Up
AT4G25640	Short–Long Up
AT4G28140	Short–Long Up
AT4G33040	Short–Long Up
AT4G37150	Short–Long Up
AT4G37320	Short–Long Up
AT4G37760	Short–Long Up
AT5G03990	Short–Long Up
AT5G04250	Short–Long Up
AT5G06410	Short–Long Up
AT5G13210	Short–Long Up
AT5G18065	Short–Long Up
AT5G18130	Frequent
AT5G37670	Short–Long Up
AT5G41750	Short–Long Up
AT5G42020	Short–Long Up
AT5G43260	Short–Long Up
AT5G54860	Short–Long Up
AT5G54940	Short–Long Up
AT5G56600	Short–Long Up
AT5G60540	Short–Long Up
AT5G61820	Short–Long Up
AT5G67340	Short–Long Up
AT1G03495	Short–Long Up
AT1G09140	Short–Long Up
AT1G13990	Short–Long Up
AT1G16850	Short–Long Up
AT1G19140	Short–Long Up
AT1G28480	Short–Long Up
AT1G30040	Short–Long Up
AT1G32870	Short–Long Up
AT1G56600	Frequent
AT1G61890	Short–Long Up
AT1G63830	Short Up
AT1G64140	Short–Long Up
AT1G64760	Short Up
AT1G72330	Short–Long Up
AT1G72416	Short Up–Down
AT1G78930	Short–Long Up
AT1G79270	Short–Long Up
AT1G80300	Short–Long Up
AT2G23000	Short–Long Up
AT2G23010	Short–Long Up
AT2G25950	Short–Long Up
AT2G26530	Frequent
AT2G32120	Short–Long Up
AT2G34090	Short–Long Up
AT2G34810	Short–Long Up
AT2G36145	Short–Long Up
AT2G36590	Short–Long Up
AT2G38230	Short–Long Up
AT2G39330	Short–Long Up
AT2G41150	Short–Long Up
AT2G43570	Short–Long Up
AT3G05640	Short–Long Up
AT3G08690	Short–Long Up
AT3G09390	Frequent
AT3G10300	Short Up
AT3G14440	Short–Long Up
AT3G27570	Short–Long Up
AT3G48830	Short–Long Up
AT3G59820	Short–Long Up
AT3G63010	Frequent
AT4G04830	Short–Long Up
AT4G11280	Short Up–Down
AT4G13250	Short–Long Up
AT4G18440	Short–Long Up
AT4G19390	Frequent
AT4G23810	Short Up
AT4G35640	Short–Long Up
AT4G37260	Short Up–Down
AT4G39730	Short–Long Up
AT5G01100	Short–Long Up
AT5G03240	Frequent
AT5G03630	Short–Long Up
AT5G04830	Short–Long Up
AT5G05270	Short–Long Up
AT5G07990	Short–Long Up
AT5G15450	Short–Long Up
AT5G17220	Short–Long Up
AT5G20480	Short–Long Up
AT5G24990	Short–Long Up
AT5G26030	Short–Long Up
AT5G28540	Short–Long Up
AT5G40770	Short–Long Up
AT5G47830	Short–Long Up
AT5G51040	Short–Long Up
AT5G56630	Short–Long Up
AT5G58760	Frequent
AT5G61380	Short Up–Down
AT5G61880	Short–Long Up
AT5G64230	Short–Long Up
AT5G66620	Short–Long Up
AT5G66960	Short–Long Up
AT1G01470	Short–Long Up
AT1G06430	Short–Long Up
AT1G06570	Short–Long Up
AT1G07135	Frequent
AT1G09850	Short–Long Up
AT1G10230	Short–Long Up
AT1G11960	Short Up
AT1G20030	Short–Long Up
AT1G23010	Short–Long Up
AT1G23550	Short–Long Up
AT1G48570	Short–Long Up
AT1G52770	Short–Long Up
AT1G54570	Short–Long Up
AT1G54575	Short–Long Up
AT1G60960	Short–Long Up
AT1G61610	Short–Long Up
AT1G69260	Short–Long Up
AT1G69610	Short–Long Up
AT1G73990	Short–Long Up
AT1G75770	Short–Long Up
AT1G76960	Short–Long Up
AT1G78680	Short–Long Up
AT2G02810	Short–Long Up
AT2G18230	Short–Long Up
AT2G21320	Short–Long Up
AT2G28900	Frequent
AT2G36885	Short–Long Up
AT2G39980	Short–Long Up
AT2G40100	Short–Long Up
AT2G43550	Frequent
AT3G03060	Short–Long Up
AT3G03310	Short–Long Up
AT3G04640	Short–Long Up
AT3G06355	Short–Long Up
AT3G12050	Short–Long Up
AT3G24760	Short Up
AT3G26840	Short–Long Up
AT3G46450	Short–Long Up
AT3G50760	Short–Long Up
AT3G51910	Short Up–Long Down
AT3G54090	Short–Long Up
AT3G54390	Short–Long Up
AT3G55110	Short–Long Up
AT3G55120	Short–Long Up
AT3G55980	Short Up–Down
AT3G56290	Short–Long Up
AT3G56880	Short Up
AT4G17090	Short–Long Up
AT4G21990	Short–Long Up
AT4G26080	Short–Long Up
AT4G26270	Short–Long Up
AT4G27410	Short–Long Up
AT4G30240	Short Up
AT4G30470	Short–Long Up
AT4G34550	Short–Long Up
AT4G36530	Short–Long Up
AT4G36580	Short–Long Up
AT4G36830	Short–Long Up
AT4G38060	Short–Long Up
AT4G39210	Short–Long Up
AT5G01410	Short–Long Up
AT5G03560	Short–Long Up
AT5G10380	Short–Long Up
AT5G11460	Short–Long Up
AT5G15090	Short–Long Up
AT5G15960	Short–Long Up
AT5G15970	Frequent
AT5G16380	Frequent
AT5G22300	Short–Long Up
AT5G24150	Short–Long Up
AT5G42060	Short–Long Up
AT5G43150	Short–Long Up
AT5G47330	Short–Long Up
AT5G47610	Short Up
AT5G48030	Short–Long Up
AT5G49910	Short–Long Up
AT5G51220	Short–Long Up
AT5G52750	Frequent
AT5G53750	Short–Long Up
AT5G58070	Short–Long Up
AT5G59720	Short–Long Up
AT5G63790	Short–Long Up
AT5G66880	Short Up
AT5G67480	Frequent
AT1G02850	Short–Long Up
AT1G02880	Short–Long Up
AT1G05170	Frequent
AT1G06620	Short Up–Down
AT1G06690	Short–Long Up
AT1G11210	Frequent
AT1G13360	Short–Long Up
AT1G14200	Frequent
AT1G19380	Frequent
AT1G19640	Short–Long Up
AT1G21250	Short Up–Long Down
AT1G27330	Short Up
AT1G28600	Short–Long Up
AT1G30530	Short–Long Up
AT1G31280	Short–Long Up
AT1G42990	Short–Long Up
AT1G51440	Frequent
AT1G52890	Short–Long Up
AT1G56660	Short–Long Up
AT1G66725	Frequent
AT1G69840	Short Up
AT1G70140	Short–Long Up
AT1G72770	Short–Long Up
AT1G72940	Short Up
AT1G78610	Short–Long Up
AT1G79550	Short–Long Up
AT2G17280	Short–Long Up
AT2G21640	Short–Long Up
AT2G27580	Short–Long Up
AT2G30000	Short–Long Up
AT2G33580	Short Up
AT2G37240	Short–Long Up
AT2G41905	Short–Long Up
AT2G46400	Frequent
AT2G46430	Short Up
AT3G03270	Short–Long Up
AT3G05630	Short–Long Up
AT3G06500	Short–Long Up
AT3G09830	Short Up
AT3G12145	Short–Long Up
AT3G15210	Short Up
AT3G15352	Short–Long Up
AT3G16175	Short–Long Up
AT3G17120	Frequent
AT3G21750	Short–Long Up
AT3G25230	Short–Long Up
AT3G48460	Short–Long Up
AT3G52740	Short–Long Up
AT3G54820	Short–Long Up
AT3G57450	Short–Long Up
AT3G59280	Short–Long Up
AT4G01870	Short–Long Up
AT4G15480	Short–Long Up
AT4G15810	Short–Long Up
AT4G17500	Short Up–Down
AT4G22240	Short–Long Up
AT4G22880	Short–Long Up
AT4G23220	Short Up–Long Down
AT4G23260	Short–Long Up
AT4G24972	Short–Long Up
AT4G26600	Short–Long Up
AT4G27520	Short–Long Up
AT4G27585	Short–Long Up
AT4G29520	Short Up
AT4G31800	Frequent
AT4G36990	Short–Long Up
AT4G38020	Short–Long Up
AT5G01840	Short–Long Up
AT5G03555	Short Up
AT5G15700	Short–Long Up
AT5G18820	Short–Long Up
AT5G19850	Short–Long Up
AT5G23480	Short–Long Up
AT5G26860	Short–Long Up
AT5G42800	Frequent
AT5G44050	Short–Long Up
AT5G48240	Short–Long Up
AT5G52450	Short–Long Up
AT5G53400	Short–Long Up
AT5G56030	Short–Long Up
AT5G56090	Short–Long Up
AT5G57280	Short–Long Up
AT5G62210	Short–Long Up
AT1G02820	Frequent
AT1G08650	Short–Long Up
AT1G14520	Frequent
AT1G17460	Short–Long Up
AT1G21460	Short–Long Up
AT1G26800	Frequent
AT1G27350	Short–Long Up
AT1G43910	Short–Long Up
AT1G45191	Short–Long Up
AT1G49450	Short–Long Up
AT1G51660	Short Up–Down
AT1G62710	Short–Long Up
AT1G65486	Short Up
AT1G65560	Short–Long Up
AT1G67300	Short–Long Up
AT1G71850	Short–Long Up
AT1G75390	Short–Long Up
AT1G75670	Short–Long Up
AT1G77510	Short Up
AT1G79920	Short–Long Up
AT1G80820	Short–Long Up
AT2G02010	Short–Long Up
AT2G16660	Frequent
AT2G22200	Short Up–Down
AT2G22240	Short–Long Up
AT2G23320	Short Up–Down
AT2G24600	Frequent
AT2G24850	Short Up–Down
AT2G27080	Short Up
AT2G27420	Frequent
AT2G28000	Short–Long Up
AT2G29720	Short Up
AT2G32920	Short–Long Up
AT2G37040	Short–Long Up
AT2G37770	Short–Long Up
AT2G39020	Short–Long Up
AT2G39050	Short–Long Up
AT2G41000	Short–Long Up
AT2G41100	Short Up–Long Down
AT2G42530	Frequent
AT2G46790	Frequent
AT3G03250	Short–Long Up
AT3G03440	Short–Long Up
AT3G04120	Short–Long Up
AT3G05030	Short–Long Up
AT3G09450	Frequent
AT3G10410	Frequent
AT3G11580	Short–Long Up
AT3G13230	Short–Long Up
AT3G19010	Short Up
AT3G19170	Short–Long Up
AT3G21700	Short–Long Up
AT3G22550	Short–Long Up
AT3G24100	Short–Long Up
AT3G24190	Short–Long Up
AT3G24460	Frequent
AT3G25760	Short–Long Up
AT3G28270	Short–Long Up
AT3G44990	Frequent
AT3G46870	Short–Long Up
AT3G51090	Short–Long Up
AT3G51660	Frequent
AT3G51860	Short–Long Up
AT3G51870	Short–Long Up
AT3G52400	Short Up
AT3G55640	Short–Long Up
AT3G56990	Short–Long Up
AT4G01660	Short–Long Up
AT4G02380	Short Up–Down
AT4G12000	Short–Long Up
AT4G12130	Short–Long Up
AT4G13110	Short–Long Up
AT4G14370	Short–Long Up
AT4G20020	Short–Long Up
AT4G23170	Short Up
AT4G25340	Short–Long Up
AT4G27280	Frequent
AT4G27830	Short–Long Up
AT4G29780	Short Up
AT4G30460	Short–Long Up
AT4G34990	Short–Long Up
AT4G37910	Short–Long Up
AT5G01880	Short–Long Up
AT5G02950	Short–Long Up
AT5G03740	Short Up
AT5G04410	Short–Long Up
AT5G06510	Short–Long Up
AT5G09225	Short–Long Up
AT5G09230	Short–Long Up
AT5G10730	Short–Long Up
AT5G12030	Short–Long Up
AT5G14800	Short–Long Up
AT5G16970	Short–Long Up
AT5G17450	Short–Long Up
AT5G19230	Frequent
AT5G20280	Short–Long Up
AT5G20720	Short–Long Up
AT5G22100	Short–Long Up
AT5G24380	Short–Long Up
AT5G24460	Short–Long Up
AT5G25930	Frequent
AT5G27520	Short–Long Up
AT5G39850	Short–Long Up
AT5G40780	Frequent
AT5G50240	Short–Long Up
AT5G52050	Frequent
AT5G52380	Short–Long Up
AT5G53120	Short–Long Up
AT5G54170	Short–Long Up
AT5G55570	Short–Long Up
AT5G58310	Frequent
AT5G58590	Short–Long Up
AT5G61790	Short Up
AT5G62020	Short–Long Up
AT5G62200	Short–Long Up
AT5G64400	Short–Long Up
AT5G67150	Short–Long Up
ATCG00280	Short–Long Up
AT1G03760	Short–Long Up
AT1G07187	Short–Long Up
AT1G07430	Short–Long Up
AT1G07510	Short–Long Up
AT1G10090	Short Up
AT1G10370	Short–Long Up
AT1G12060	Short–Long Up
AT1G12845	Frequent
AT1G16030	Short–Long Up
AT1G16730	Short–Long Up
AT1G17050	Short–Long Up
AT1G19300	Short Up
AT1G21410	Short–Long Up
AT1G23180	Short–Long Up
AT1G23330	Short–Long Up
AT1G27360	Short–Long Up
AT1G27760	Short–Long Up
AT1G31660	Short–Long Up
AT1G45145	Short Up
AT1G48100	Short–Long Up
AT1G49660	Short–Long Up
AT1G50740	Short Up
AT1G51310	Short–Long Up
AT1G52570	Short–Long Up
AT1G57770	Short–Long Up
AT1G58520	Short–Long Up
AT1G59740	Short–Long Up
AT1G59870	Frequent
AT1G60270	Short–Long Up
AT1G61640	Short–Long Up
AT1G62300	Frequent
AT1G63780	Short–Long Up
AT1G66760	Short–Long Up
AT1G68620	Short–Long Up
AT1G69890	Frequent
AT1G70800	Short–Long Up
AT1G74240	Short–Long Up
AT1G76970	Short–Long Up
AT1G78370	Short–Long Up
AT1G79520	Short–Long Up
AT1G80150	Short–Long Up
AT2G15890	Frequent
AT2G16365	Short–Long Up
AT2G18690	Short–Long Up
AT2G18900	Short–Long Up
AT2G22080	Short Up
AT2G22360	Short–Long Up
AT2G25110	Short–Long Up
AT2G27820	Short–Long Up
AT2G27840	Frequent
AT2G29460	Short–Long Up
AT2G32930	Short–Long Up
AT2G33250	Short–Long Up
AT2G34070	Short–Long Up
AT2G34660	Short–Long Up
AT2G36750	Short–Long Up
AT2G40140	Frequent
AT2G41040	Short–Long Up
AT2G43020	Short–Long Up
AT2G43535	Short–Long Up
AT2G46800	Short–Long Up
AT2G47730	Short Up
AT3G01510	Short–Long Up
AT3G01800	Short–Long Up
AT3G03950	Short–Long Up
AT3G09650	Short–Long Up
AT3G12340	Short–Long Up
AT3G13860	Short–Long Up
AT3G14690	Short–Long Up
AT3G15790	Short–Long Up
AT3G16720	Short Up–Down
AT3G17930	Short–Long Up
AT3G21400	Short–Long Up
AT3G22160	Frequent
AT3G22910	Short–Long Up
AT3G27280	Short–Long Up
AT3G47420	Short Up–Down
AT3G47820	Short Up
AT3G48520	Short–Long Up
AT3G49570	Short–Long Up
AT3G50970	Frequent
AT3G51430	Short–Long Up
AT3G51440	Short Up
AT3G53630	Short–Long Up
AT3G53940	Short–Long Up
AT3G57000	Short–Long Up
AT3G60360	Short–Long Up
AT3G61220	Short–Long Up
AT4G05440	Short–Long Up
AT4G08390	Short–Long Up
AT4G10960	Short–Long Up
AT4G12720	Short Up
AT4G13410	Frequent
AT4G14365	Short Up
AT4G15850	Short–Long Up
AT4G16690	Short–Long Up
AT4G16760	Short–Long Up
AT4G16860	Short Up–Long Down
AT4G18810	Short–Long Up
AT4G21215	Frequent
AT4G22590	Short–Long Up
AT4G23000	Short–Long Up
AT4G23190	Short–Long Up
AT4G23630	Short–Long Up
AT4G23920	Short–Long Up
AT4G24280	Short–Long Up
AT4G25700	Short–Long Up
AT4G27020	Short–Long Up
AT4G30150	Frequent
AT4G32770	Short–Long Up
AT4G36900	Short–Long Up
AT4G38100	Short–Long Up
AT4G39800	Short–Long Up
AT5G01340	Short–Long Up
AT5G06550	Short–Long Up
AT5G11590	Short–Long Up
AT5G12010	Short–Long Up
AT5G13190	Short Up
AT5G13750	Short–Long Up
AT5G17460	Short–Long Up
AT5G17780	Short–Long Up
AT5G19750	Frequent
AT5G20020	Short–Long Up
AT5G22020	Short–Long Up
AT5G22060	Short–Long Up
AT5G23240	Frequent
AT5G24030	Short–Long Up
AT5G24850	Short–Long Up
AT5G25440	Short Up–Long Down
AT5G41740	Short Up–Long Down
AT5G44110	Short–Long Up
AT5G45140	Short–Long Up
AT5G50800	Frequent
AT5G52250	Short–Long Up
AT5G52420	Short–Long Up
AT5G52810	Frequent
AT5G53290	Short–Long Up
AT5G54100	Short–Long Up
AT5G54910	Short–Long Up
AT5G55200	Short–Long Up
AT5G59320	Short–Long Up
AT5G60990	Short–Long Up
AT5G61600	Frequent
AT5G61810	Short–Long Up
AT5G62730	Frequent
AT5G66052	Short Up–Down
AT1G01250	Short–Long Up
AT1G02660	Frequent
AT1G02920	Short–Long Up
AT1G03860	Short–Long Up
AT1G04770	Short–Long Up
AT1G08920	Frequent
AT1G15420	Short–Long Up
AT1G15440	Short–Long Up
AT1G17940	Short–Long Up
AT1G23280	Short–Long Up
AT1G26470	Short–Long Up
AT1G27770	Short Up
AT1G27940	Short–Long Up
AT1G28210	Short–Long Up
AT1G32900	Short–Long Up
AT1G45249	Short–Long Up
AT1G48330	Frequent
AT1G49560	Short–Long Up
AT1G51380	Short–Long Up
AT1G53670	Short–Long Up
AT1G54040	Short–Long Up
AT1G55310	Short–Long Up
AT1G55500	Short–Long Up
AT1G55530	Short–Long Up
AT1G56440	Short–Long Up
AT1G60080	Short–Long Up
AT1G60850	Short–Long Up
AT1G63860	Frequent
AT1G64780	Short–Long Up
AT1G66160	Short Up
AT1G71110	Short–Long Up
AT1G72920	Short Up–Down
AT1G75040	Short–Long Up
AT1G76040	Short Up
AT1G79260	Short–Long Up
AT2G12190	Short–Long Up
AT2G14520	Short–Long Up
AT2G17120	Short–Long Up
AT2G17250	Short–Long Up
AT2G17500	Frequent
AT2G20340	Frequent
AT2G23910	Short–Long Up
AT2G25625	Short–Long Up
AT2G27310	Short Up–Down
AT2G29170	Frequent
AT2G29440	Short Up
AT2G29540	Short–Long Up
AT2G30020	Short Up
AT2G30320	Short–Long Up
AT2G30490	Short–Long Up
AT2G33735	Short–Long Up
AT2G34930	Short Up
AT2G37060	Short–Long Up
AT2G38540	Short–Long Up
AT2G41670	Short–Long Up
AT2G43100	Short–Long Up
AT2G43630	Short–Long Up
AT2G44510	Short–Long Up
AT2G46620	Short Up–Down
AT2G47990	Short–Long Up
AT3G09970	Short–Long Up
AT3G10500	Short–Long Up
AT3G10985	Short Up
AT3G11820	Short Up
AT3G13110	Short–Long Up
AT3G20240	Short–Long Up
AT3G23920	Short–Long Up
AT3G25870	Short–Long Up
AT3G26170	Short–Long Up
AT3G26410	Short–Long Up
AT3G26440	Short Up
AT3G28210	Short–Long Up
AT3G29090	Short–Long Up
AT3G44100	Short–Long Up
AT3G44110	Short–Long Up
AT3G44450	Frequent
AT3G49160	Short–Long Up
AT3G49530	Short Up
AT3G50280	Short–Long Up
AT3G51750	Frequent
AT3G51790	Short–Long Up
AT3G53830	Short–Long Up
AT3G55430	Short–Long Up
AT3G56090	Short Up
AT3G56200	Short–Long Up
AT4G09500	Short–Long Up
AT4G12320	Short Up–Down
AT4G12600	Short–Long Up
AT4G13180	Short–Long Up
AT4G15420	Short–Long Up
AT4G16190	Frequent
AT4G17770	Short–Long Up
AT4G23570	Short Up
AT4G28450	Short–Long Up
AT4G29590	Short–Long Up
AT4G37090	Short–Long Up
AT4G38380	Short–Long Up
AT4G39366	Short Up
AT5G03190	Short–Long Up
AT5G09420	Short–Long Up
AT5G09440	Short Up–Down
AT5G10410	Short–Long Up
AT5G13100	Short Up–Long Down
AT5G13240	Short Up
AT5G19300	Short–Long Up
AT5G19440	Short–Long Up
AT5G24160	Short–Long Up
AT5G24590	Short Up
AT5G30495	Short–Long Up
AT5G38890	Short–Long Up
AT5G43850	Short–Long Up
AT5G48380	Short Up
AT5G50100	Short–Long Up
AT5G51050	Short Up
AT5G51720	Short–Long Up
AT5G52570	Short–Long Up
AT5G56010	Frequent
AT5G56500	Short–Long Up
