Gene1	Gene2	Correlation	source
AT4G27410	AT4G35630	0.319196949468062	GENIE&WGCNA
AT3G02150	AT1G70230	0.318730827262152	GENIE&WGCNA
AT4G00238	AT5G22330	0.317633617469864	GENIE&WGCNA
AT5G63420	AT5G66470	0.317191415802955	GENIE&WGCNA
AT2G28450	AT1G42440	0.317181547117504	GENIE&WGCNA
AT2G28450	AT4G26190	0.317000685093477	GENIE&WGCNA
AT2G28450	AT2G18900	0.316618686084417	GENIE&WGCNA
AT1G71260	AT3G56330	0.315861164018949	GENIE&WGCNA
AT5G53290	AT5G67480	0.315721566879919	GENIE&WGCNA
AT2G28450	AT1G10490	0.315328414218911	GENIE&WGCNA
AT2G02740	AT1G66520	0.315172784504964	GENIE&WGCNA
AT1G62300	AT1G23710	0.314774887192214	GENIE&WGCNA
AT5G63420	AT2G19870	0.314610887457581	GENIE&WGCNA
AT1G71260	AT5G03800	0.31406574178961	GENIE&WGCNA
AT3G02150	AT4G01080	0.314028337060167	GENIE&WGCNA
AT4G00238	AT4G32720	0.313821662240334	GENIE&WGCNA
AT5G53290	AT1G10370	0.313760989229325	GENIE&WGCNA
AT4G12750	AT1G63660	0.313756155179373	GENIE&WGCNA
AT2G28450	AT1G68990	0.31349063119992	GENIE&WGCNA
AT2G28450	AT5G64420	0.312589332129589	GENIE&WGCNA
AT1G62300	AT5G42830	0.311927265134565	GENIE&WGCNA
AT5G53290	AT1G08800	0.311827880562571	GENIE&WGCNA
AT2G28450	AT5G11240	0.311695562409089	GENIE&WGCNA
AT2G28450	AT2G40360	0.311560557056614	GENIE&WGCNA
AT4G12750	AT5G04895	0.310584650220498	GENIE&WGCNA
AT2G28450	AT4G13750	0.310446270149156	GENIE&WGCNA
AT4G12750	AT4G04670	0.309654789850544	GENIE&WGCNA
AT5G63420	AT3G18680	0.309108839630022	GENIE&WGCNA
AT1G71260	AT3G47450	0.309000268772498	GENIE&WGCNA
AT4G12750	AT2G36250	0.30895451838495	GENIE&WGCNA
AT5G63420	AT4G02990	0.308413747531594	GENIE&WGCNA
AT1G17460	AT2G31060	0.308258057773017	GENIE&WGCNA
AT1G62300	AT4G15760	0.30797172539078	GENIE&WGCNA
AT5G63420	AT1G80480	0.307769251602693	GENIE&WGCNA
AT4G00238	AT5G14520	0.306819078207462	GENIE&WGCNA
AT2G28450	AT5G17930	0.306713775293092	GENIE&WGCNA
AT2G02740	AT2G19870	0.306699578676608	GENIE&WGCNA
AT2G28450	AT5G06460	0.306589002372924	GENIE&WGCNA
AT2G28450	AT3G57660	0.306070463846497	GENIE&WGCNA
