Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family
AT1G30330	AT5G58520	0.5025250670475738	Short Down	Short–Long Down	Down	Down	3	7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	FALSE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short–Long Down	ARF	NA
AT1G30330	AT5G26850	0.5019616643841176	Short Down	Short Down	Down	Down	3	3	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
AT5G60690	AT3G23430	0.5017177837706948	Short Down	Short–Long Down	Down	Down	3	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	HD-ZIP	NA
AT1G30330	AT1G10640	0.5014912187937433	Short Down	Short–Long Down	Down	Down	3	10	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	FALSE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short–Long Down	ARF	NA
AT1G30330	AT4G25260	0.5014079004745482	Short Down	Short Down	Down	Down	3	9	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
AT1G28310	AT1G33800	0.5011268816682508	Short Down	Short Down	Down	Down	4	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Dof	NA
AT2G26150	AT1G55300	0.5003366308191869	Short Up–Down	Short Up–Long Down	Mixed	Up	15	6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up–Long Down	HSF	NA
AT1G30330	AT1G15810	0.4991124656125762	Short Down	Short–Long Up	Down	Up	3	4	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	FALSE	FALSE	GENIE&WGCNA	Photoreceptor, Short Down	Short–Long Up	ARF	NA
AT2G26150	AT1G54050	0.49896664830411	Short Up–Down	Short Up–Down	Mixed	Mixed	15	17	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up–Down	Short Up–Down	HSF	NA
AT1G30330	AT4G18670	0.4988651345981777	Short Down	Short Down	Down	Down	3	7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
